visualization_filename, serialization
('BPIC15_3_rev/process_tree_case_size_betwee_8_and_11_noise_50.svg', "->( X( tau, ->( 'Record submission date request', X( 'Document date termination request received', 'OLO messaging ongoing', ->( 'Reception through OLO system', 'Log senddate procedure confirmation', 'Send procedure confirmation' ) ), +( 'Applicant is involved', *( 'Issue confirmation receipt', tau ), X( +( 'No permit necessary or only notification needed', 'Terminate on request' ), 'Period application received' ) ), 'Log senddate acknowledgement', X( tau, 'Direct to the competent authority' ), X( tau, 'Inform BAG administrator' ), 'Normal procedure without MER', X( tau, 'Create procedure confirmation' ), X( tau, 'Announce' ), X( tau, 'Start WABOprocedure' ) ) ), X( tau, ->( 'Pause term', 'Register date of publishing received request' ), ->( X( ->( 'Log senddate for termination request', 'Message to terminate request' ), ->( 'record senddate letter no permit or notification required', 'Document deadline' ) ), 'Phase procedure terminated', 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_8_and_11_noise_60.svg', "->( X( tau, ->( 'Record submission date request', X( 'Document date termination request received', 'OLO messaging ongoing', ->( 'Reception through OLO system', 'Log senddate procedure confirmation', 'Send procedure confirmation' ) ), X( tau, ->( 'Applicant is involved', X( tau, 'Terminate on request' ) ) ), +( *( 'Issue confirmation receipt', tau ), 'Period application received' ), 'Log senddate acknowledgement', 'Direct to the competent authority', X( tau, 'Inform BAG administrator' ), 'Normal procedure without MER', 'Create procedure confirmation', X( tau, 'Announce' ), 'Start WABOprocedure' ) ), X( tau, ->( 'Pause term', 'Register date of publishing received request' ), ->( X( ->( 'Log senddate for termination request', 'Message to terminate request' ), ->( 'record senddate letter no permit or notification required', 'Document deadline' ) ), 'Phase procedure terminated', 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_8_and_11_noise_70.svg', "->( X( tau, ->( 'Record submission date request', X( ->( 'OLO messaging ongoing', X( tau, ->( 'Competent authority action', 'Generate terminate request message' ) ) ), ->( 'Reception through OLO system', 'Log senddate procedure confirmation', 'Send procedure confirmation' ) ), X( tau, ->( 'Procedure phase terminated prematurely', 'Document date termination request received' ) ), 'No permit necessary or only notification needed', 'Applicant is involved', 'Terminate on request', +( *( 'Issue confirmation receipt', tau ), 'Period application received' ), 'Log senddate acknowledgement', 'Direct to the competent authority', X( tau, 'Inform BAG administrator' ), 'Normal procedure without MER', 'Create procedure confirmation', X( tau, 'Announce' ), 'Start WABOprocedure' ) ), X( tau, ->( 'Pause term', 'Register date of publishing received request' ), ->( X( ->( 'Log senddate for termination request', 'Message to terminate request' ), ->( 'record senddate letter no permit or notification required', 'Document deadline' ) ), 'Phase procedure terminated', 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_8_and_11_noise_80.svg', "->( X( tau, ->( 'Record submission date request', 'OLO messaging ongoing', X( tau, ->( 'Competent authority action', 'Generate terminate request message', 'Procedure phase terminated prematurely', 'Document date termination request received' ) ), 'Period application received', X( 'No permit necessary or only notification needed', ->( 'Reception through OLO system', 'Log senddate procedure confirmation', 'Send procedure confirmation' ) ), 'Applicant is involved', 'Terminate on request', *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement', 'Direct to the competent authority', X( tau, 'Inform BAG administrator' ), 'Normal procedure without MER', 'Create procedure confirmation', X( tau, 'Announce' ), 'Start WABOprocedure' ) ), X( tau, ->( 'Pause term', 'Register date of publishing received request' ), ->( X( ->( 'Log senddate for termination request', 'Message to terminate request' ), ->( 'record senddate letter no permit or notification required', 'Document deadline' ) ), 'Phase procedure terminated', 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_8_and_11_noise_90.svg', "->( X( tau, ->( 'Record submission date request', 'OLO messaging ongoing', 'Competent authority action', 'Generate terminate request message', 'Procedure phase terminated prematurely', 'Document date termination request received', 'Period application received', X( 'No permit necessary or only notification needed', ->( 'Reception through OLO system', 'Log senddate procedure confirmation', 'Send procedure confirmation' ) ), 'Applicant is involved', 'Terminate on request', *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement', 'Direct to the competent authority', X( tau, 'Inform BAG administrator' ), 'Normal procedure without MER', 'Create procedure confirmation', X( tau, 'Announce' ), 'Start WABOprocedure' ) ), X( ->( 'Pause term', 'Register date of publishing received request' ), ->( X( ->( 'Log senddate for termination request', 'Message to terminate request' ), ->( 'record senddate letter no permit or notification required', 'Document deadline' ) ), 'Phase procedure terminated', 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_10_and_12_noise_10.svg', "->( +( 'Record submission date request', 'Period application received', ->( X( tau, 'OLO messaging ongoing' ), +( X( tau, 'Applicant is involved' ), ->( +( X( tau, 'Create procedure confirmation' ), ->( +( X( tau, 'Document date termination request received' ), ->( +( *( 'Issue confirmation receipt', tau ), ->( X( tau, ->( X( tau, 'No permit necessary or only notification needed' ), 'Terminate on request' ) ), X( tau, 'Log senddate acknowledgement' ), X( tau, 'Reception through OLO system' ) ) ), X( tau, 'Procedure phase terminated prematurely' ) ) ), X( tau, ->( X( tau, 'Log senddate procedure confirmation', 'draft no permit or notification letter' ), +( 'Direct to the competent authority', 'Normal procedure without MER' ) ) ), X( tau, ->( X( tau, 'Announce' ), 'Start WABOprocedure' ) ) ) ), X( tau, ->( X( tau, ->( 'No permit required for submission', 'MER shown', 'Activities for regular procedure', 'Phased application' ) ), 'Send procedure confirmation' ) ) ) ) ) ), X( tau, 'Create subcases completeness', ->( 'Pause term', 'Register date of publishing received request' ), ->( 'Log senddate for termination request', 'Message to terminate request', 'Phase procedure terminated' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_10_and_12_noise_20.svg', "->( +( 'Period application received', ->( 'Record submission date request', X( tau, 'OLO messaging ongoing' ), +( X( tau, 'Applicant is involved' ), ->( +( X( tau, 'Document date termination request received' ), ->( +( *( 'Issue confirmation receipt', tau ), ->( X( tau, ->( X( tau, 'No permit necessary or only notification needed' ), 'Terminate on request' ) ), 'Log senddate acknowledgement', X( tau, 'Reception through OLO system' ), +( 'Direct to the competent authority', ->( 'Normal procedure without MER', X( tau, 'Create procedure confirmation' ) ) ) ) ), X( tau, 'Procedure phase terminated prematurely' ) ) ), X( tau, 'Send procedure confirmation' ) ) ) ) ), X( tau, ->( X( tau, 'Announce' ), 'Start WABOprocedure' ) ), X( tau, 'Create subcases completeness', ->( 'Pause term', 'Register date of publishing received request' ), ->( 'Log senddate for termination request', 'Message to terminate request', 'Phase procedure terminated' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_10_and_12_noise_30.svg', "->( 'Record submission date request', X( tau, 'OLO messaging ongoing' ), +( X( tau, 'Applicant is involved' ), 'Period application received', ->( +( X( tau, 'Document date termination request received' ), ->( +( *( 'Issue confirmation receipt', tau ), ->( +( X( tau, 'Log senddate acknowledgement' ), X( tau, 'Terminate on request' ) ), X( tau, 'Reception through OLO system' ), 'Direct to the competent authority', 'Normal procedure without MER', X( tau, 'Create procedure confirmation' ) ) ), X( tau, 'Procedure phase terminated prematurely' ) ) ), X( tau, 'Send procedure confirmation' ) ) ), X( tau, ->( X( tau, 'Announce' ), 'Start WABOprocedure' ) ), X( tau, 'Create subcases completeness', ->( 'Pause term', 'Register date of publishing received request' ), ->( 'Log senddate for termination request', 'Message to terminate request', 'Phase procedure terminated' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_10_and_12_noise_40.svg', "->( 'Record submission date request', 'OLO messaging ongoing', X( tau, ->( 'Competent authority action', 'Generate terminate request message' ) ), X( tau, +( X( tau, 'Document date termination request received' ), ->( X( tau, 'No permit necessary or only notification needed' ), 'Applicant is involved', 'Terminate on request', X( tau, 'Procedure phase terminated prematurely' ) ) ) ), +( 'Log senddate acknowledgement', *( 'Issue confirmation receipt', tau ), ->( 'Period application received', X( tau, 'Reception through OLO system' ) ) ), 'Direct to the competent authority', 'Normal procedure without MER', X( tau, 'Create procedure confirmation' ), X( tau, 'Announce' ), 'Start WABOprocedure', X( tau, 'Create subcases completeness', ->( 'Pause term', 'Register date of publishing received request' ), ->( 'Log senddate for termination request', 'Message to terminate request', 'Phase procedure terminated' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_10_and_12_noise_50.svg', "->( X( tau, ->( +( 'Record submission date request', 'Period application received', ->( 'OLO messaging ongoing', +( X( tau, 'Document date termination request received' ), ->( +( *( 'Issue confirmation receipt', tau ), ->( X( tau, ->( 'Competent authority action', 'Generate terminate request message' ) ), X( tau, ->( X( tau, 'No permit necessary or only notification needed' ), 'Applicant is involved' ) ), X( tau, 'Terminate on request' ), 'Log senddate acknowledgement', X( tau, 'Reception through OLO system' ) ) ), X( tau, 'Procedure phase terminated prematurely' ) ) ) ) ), X( tau, 'Log senddate procedure confirmation', 'draft no permit or notification letter' ), 'Direct to the competent authority', 'Normal procedure without MER', X( tau, 'Create procedure confirmation' ), X( tau, 'Announce' ), 'Start WABOprocedure' ) ), X( tau, 'Create subcases completeness', ->( 'Pause term', 'Register date of publishing received request' ), ->( 'Log senddate for termination request', 'Message to terminate request', 'Phase procedure terminated' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_10_and_12_noise_60.svg', "->( X( tau, ->( +( 'Record submission date request', 'Period application received', ->( 'OLO messaging ongoing', +( X( tau, 'Document date termination request received' ), ->( +( *( 'Issue confirmation receipt', tau ), ->( X( tau, ->( 'Competent authority action', 'Generate terminate request message' ) ), 'No permit necessary or only notification needed', 'Applicant is involved', X( tau, 'Terminate on request' ), 'Log senddate acknowledgement', X( tau, 'Reception through OLO system' ) ) ), X( tau, 'Procedure phase terminated prematurely' ) ) ) ) ), X( tau, 'Log senddate procedure confirmation', 'draft no permit or notification letter' ), 'Direct to the competent authority', 'Normal procedure without MER', X( tau, 'Create procedure confirmation' ), X( tau, 'Announce' ), 'Start WABOprocedure' ) ), X( tau, 'Create subcases completeness', ->( 'Pause term', 'Register date of publishing received request' ), ->( 'Log senddate for termination request', 'Message to terminate request', 'Phase procedure terminated' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_10_and_12_noise_70.svg', "->( X( tau, ->( +( 'Record submission date request', 'Period application received', ->( 'OLO messaging ongoing', +( X( tau, 'Document date termination request received' ), ->( +( *( 'Issue confirmation receipt', tau ), ->( X( tau, ->( 'Competent authority action', 'Generate terminate request message' ) ), 'No permit necessary or only notification needed', 'Applicant is involved', X( tau, 'Terminate on request' ), 'Log senddate acknowledgement', X( tau, 'Reception through OLO system' ) ) ), X( tau, 'Procedure phase terminated prematurely' ) ) ) ) ), X( tau, 'Log senddate procedure confirmation', 'draft no permit or notification letter' ), 'Direct to the competent authority', 'Normal procedure without MER', 'Create procedure confirmation', X( tau, 'Announce' ), 'Start WABOprocedure' ) ), X( tau, 'Create subcases completeness', ->( 'Pause term', 'Register date of publishing received request' ), ->( 'Log senddate for termination request', 'Message to terminate request', 'Phase procedure terminated' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_10_and_12_noise_80.svg', "->( X( tau, ->( +( 'Period application received', X( tau, ->( 'Record submission date request', X( 'OLO messaging ongoing', 'Reception through OLO system' ), 'Document date termination request received', 'No permit necessary or only notification needed', 'Applicant is involved', *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement' ) ) ), X( 'Log senddate procedure confirmation', 'draft no permit or notification letter' ), X( tau, +( 'Direct to the competent authority', 'Normal procedure without MER' ) ), X( tau, 'Announce' ), 'Start WABOprocedure' ) ), X( 'Create subcases completeness', ->( 'Pause term', 'Register date of publishing received request' ), ->( 'Log senddate for termination request', 'Message to terminate request', 'Phase procedure terminated' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_10_and_12_noise_90.svg', "->( X( tau, ->( X( tau, ->( +( 'Period application received', X( tau, ->( 'Record submission date request', X( 'OLO messaging ongoing', 'Reception through OLO system' ), 'Document date termination request received', 'No permit necessary or only notification needed', 'Applicant is involved', *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement' ) ) ), X( 'Log senddate procedure confirmation', 'draft no permit or notification letter' ), +( 'Direct to the competent authority', 'Normal procedure without MER' ) ) ), X( tau, 'Announce' ), 'Start WABOprocedure' ) ), X( 'Create subcases completeness', ->( 'Pause term', 'Register date of publishing received request' ), ->( 'Log senddate for termination request', 'Message to terminate request', 'Phase procedure terminated' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_11_and_12_noise_10.svg', "->( 'Record submission date request', X( tau, 'OLO messaging ongoing' ), +( 'Log senddate acknowledgement', 'Period application received', ->( X( tau, 'Reception through OLO system' ), +( X( tau, 'Applicant is involved' ), *( *( 'Issue confirmation receipt', tau ), ->( 'No permit necessary or only notification needed', 'Terminate on request' ) ) ) ) ), X( tau, 'Log senddate procedure confirmation', 'draft no permit or notification letter' ), 'Direct to the competent authority', 'Normal procedure without MER', X( tau, ->( +( ->( X( tau, 'Announce' ), 'Start WABOprocedure' ), 'Create procedure confirmation' ), X( tau, 'Create subcases completeness' ) ), ->( X( tau, ->( 'No permit required for submission', 'MER shown', 'Activities for regular procedure', 'Phased application' ) ), 'Send procedure confirmation', X( tau, ->( 'Pause term', 'Register date of publishing received request' ) ) ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_11_and_12_noise_20.svg', "->( 'Record submission date request', X( tau, 'OLO messaging ongoing' ), +( 'Log senddate acknowledgement', 'Period application received', ->( X( tau, 'Reception through OLO system' ), X( tau, ->( X( tau, 'No permit necessary or only notification needed' ), 'Applicant is involved', X( tau, 'Terminate on request' ) ) ), *( 'Issue confirmation receipt', tau ) ) ), X( tau, 'Log senddate procedure confirmation', 'draft no permit or notification letter' ), 'Direct to the competent authority', 'Normal procedure without MER', X( ->( +( ->( X( tau, 'Announce' ), 'Start WABOprocedure' ), 'Create procedure confirmation' ), X( tau, 'Create subcases completeness' ) ), ->( X( tau, ->( 'No permit required for submission', 'MER shown', 'Activities for regular procedure', 'Phased application' ) ), 'Send procedure confirmation', X( tau, ->( 'Pause term', 'Register date of publishing received request' ) ) ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_11_and_12_noise_30.svg', "->( 'Record submission date request', X( tau, 'OLO messaging ongoing' ), +( 'Log senddate acknowledgement', ->( X( tau, ->( X( tau, 'No permit necessary or only notification needed' ), 'Applicant is involved', X( tau, 'Terminate on request' ) ) ), +( *( 'Issue confirmation receipt', tau ), ->( 'Period application received', X( tau, 'Reception through OLO system' ) ) ) ) ), X( tau, 'Log senddate procedure confirmation', 'draft no permit or notification letter' ), 'Direct to the competent authority', 'Normal procedure without MER', X( ->( +( ->( X( tau, 'Announce' ), 'Start WABOprocedure' ), 'Create procedure confirmation' ), X( tau, 'Create subcases completeness' ) ), ->( X( tau, ->( 'No permit required for submission', 'MER shown', 'Activities for regular procedure', 'Phased application' ) ), 'Send procedure confirmation', X( tau, ->( 'Pause term', 'Register date of publishing received request' ) ) ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_11_and_12_noise_40.svg', "->( 'Record submission date request', X( tau, 'OLO messaging ongoing' ), X( tau, ->( X( tau, 'No permit necessary or only notification needed' ), 'Applicant is involved', X( tau, 'Terminate on request' ) ) ), +( 'Log senddate acknowledgement', *( 'Issue confirmation receipt', tau ), ->( 'Period application received', X( tau, 'Reception through OLO system' ) ) ), X( tau, 'Log senddate procedure confirmation', 'draft no permit or notification letter' ), 'Direct to the competent authority', 'Normal procedure without MER', X( ->( +( ->( X( tau, 'Announce' ), 'Start WABOprocedure' ), 'Create procedure confirmation' ), X( tau, 'Create subcases completeness' ) ), ->( X( tau, ->( 'No permit required for submission', 'MER shown', 'Activities for regular procedure', 'Phased application' ) ), 'Send procedure confirmation', X( tau, ->( 'Pause term', 'Register date of publishing received request' ) ) ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_11_and_12_noise_50.svg', "->( 'Record submission date request', 'OLO messaging ongoing', X( tau, ->( 'No permit necessary or only notification needed', 'Applicant is involved', 'Terminate on request' ) ), +( 'Log senddate acknowledgement', ->( 'Period application received', 'Reception through OLO system', *( 'Issue confirmation receipt', tau ) ) ), X( tau, 'Log senddate procedure confirmation', 'draft no permit or notification letter' ), 'Direct to the competent authority', 'Normal procedure without MER', X( ->( 'Create procedure confirmation', 'Announce', 'Start WABOprocedure', X( tau, 'Create subcases completeness' ) ), ->( 'No permit required for submission', 'MER shown', 'Activities for regular procedure', 'Phased application', 'Send procedure confirmation', 'Pause term', 'Register date of publishing received request' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_11_and_12_noise_70.svg', "->( 'Record submission date request', 'OLO messaging ongoing', X( tau, 'Applicant is involved' ), +( 'Log senddate acknowledgement', ->( 'Period application received', 'Reception through OLO system', *( 'Issue confirmation receipt', tau ) ) ), X( 'Log senddate procedure confirmation', 'draft no permit or notification letter' ), 'Direct to the competent authority', 'Normal procedure without MER', X( ->( 'Create procedure confirmation', 'Announce', 'Start WABOprocedure', 'Create subcases completeness' ), ->( 'No permit required for submission', 'MER shown', 'Activities for regular procedure', 'Phased application', 'Send procedure confirmation', 'Pause term', 'Register date of publishing received request' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_11_and_12_noise_90.svg', "->( 'Record submission date request', 'OLO messaging ongoing', 'Applicant is involved', +( 'Log senddate acknowledgement', ->( 'Period application received', 'Reception through OLO system', *( 'Issue confirmation receipt', tau ) ) ), X( 'Log senddate procedure confirmation', 'draft no permit or notification letter' ), 'Direct to the competent authority', 'Normal procedure without MER', X( ->( 'Create procedure confirmation', 'Announce', 'Start WABOprocedure', 'Create subcases completeness' ), ->( 'No permit required for submission', 'MER shown', 'Activities for regular procedure', 'Phased application', 'Send procedure confirmation', 'Pause term', 'Register date of publishing received request' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_12_and_12_noise_10.svg', "->( 'Record submission date request', X( tau, ->( 'OLO messaging ongoing', 'Applicant is involved' ) ), +( 'Log senddate acknowledgement', ->( 'Period application received', X( tau, 'Reception through OLO system' ), *( 'Issue confirmation receipt', tau ) ) ), 'Direct to the competent authority', 'Normal procedure without MER', X( ->( 'Start WABOprocedure', 'Create procedure confirmation', 'Create subcases completeness' ), ->( 'No permit required for submission', 'MER shown', 'Activities for regular procedure', 'Phased application', 'Send procedure confirmation' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_12_and_12_noise_50.svg', "->( 'Record submission date request', 'OLO messaging ongoing', 'Applicant is involved', 'Log senddate acknowledgement', 'Period application received', 'Reception through OLO system', *( 'Issue confirmation receipt', tau ), 'Direct to the competent authority', 'Normal procedure without MER', X( ->( 'Start WABOprocedure', 'Create procedure confirmation', 'Create subcases completeness' ), ->( 'No permit required for submission', 'MER shown', 'Activities for regular procedure', 'Phased application', 'Send procedure confirmation' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_12_and_13_noise_10.svg', "->( 'Record submission date request', +( 'Log senddate acknowledgement', ->( X( tau, 'Log senddate procedure confirmation' ), X( tau, 'OLO messaging ongoing' ), +( 'Period application received', ->( X( tau, 'Reception through OLO system' ), *( ->( X( tau, 'Applicant is involved' ), 'Issue confirmation receipt' ), tau ) ) ) ) ), X( tau, ->( 'Calculate provisional charges', 'Terminate on request' ) ), +( 'Direct to the competent authority', ->( X( tau, *( 'No permit necessary or only notification needed', tau ) ), 'Normal procedure without MER', X( tau, ->( X( ->( X( tau, 'No permit required for submission' ), 'MER shown' ), 'Environmental Report needed' ), 'Activities for regular procedure', X( tau, 'Phased application' ) ) ) ) ), X( ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( X( tau, +( 'Start WABOprocedure', X( tau, ->( 'Create procedure confirmation', 'Create subcases completeness' ) ) ) ), X( tau, 'View field phased application', 'Process subcases completeness', ->( 'Send procedure confirmation', X( tau, 'Create publication report' ) ), 'Update procedure' ) ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_12_and_13_noise_20.svg', "->( 'Record submission date request', X( tau, 'Log senddate procedure confirmation' ), 'OLO messaging ongoing', +( 'Log senddate acknowledgement', ->( X( tau, 'Applicant is involved' ), +( 'Period application received', ->( X( tau, 'Reception through OLO system' ), *( 'Issue confirmation receipt', tau ) ) ) ) ), X( tau, ->( 'Calculate provisional charges', 'Terminate on request' ) ), X( tau, *( 'No permit necessary or only notification needed', tau ) ), +( 'Direct to the competent authority', ->( 'Normal procedure without MER', X( tau, ->( X( ->( X( tau, 'No permit required for submission' ), 'MER shown' ), 'Environmental Report needed' ), 'Activities for regular procedure', 'Phased application' ) ) ) ), X( ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( +( 'Start WABOprocedure', X( tau, ->( 'Create procedure confirmation', 'Create subcases completeness' ) ) ), X( 'View field phased application', 'Process subcases completeness', ->( 'Send procedure confirmation', X( tau, 'Create publication report' ) ), 'Update procedure' ) ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_12_and_13_noise_30.svg', "->( 'Record submission date request', X( tau, 'Log senddate procedure confirmation' ), 'OLO messaging ongoing', X( tau, 'Applicant is involved' ), +( 'Log senddate acknowledgement', *( 'Issue confirmation receipt', tau ), 'Period application received' ), X( tau, ->( 'Calculate provisional charges', 'Terminate on request' ) ), X( tau, *( 'No permit necessary or only notification needed', tau ) ), +( 'Direct to the competent authority', ->( 'Normal procedure without MER', X( tau, ->( X( ->( X( tau, 'No permit required for submission' ), 'MER shown' ), 'Environmental Report needed' ), 'Activities for regular procedure', 'Phased application' ) ) ) ), X( ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( +( 'Start WABOprocedure', X( tau, ->( 'Create procedure confirmation', 'Create subcases completeness' ) ) ), X( 'View field phased application', 'Process subcases completeness', ->( 'Send procedure confirmation', X( tau, 'Create publication report' ) ), 'Update procedure' ) ) ) )")
