visualization_filename, serialization
('BPIC15_1/process_tree_case_size_betwee_8_and_11_noise_80.svg', "->( X( tau, +( 'phase application received', 'register submission date request', ->( 'OLO messaging active', X( ->( +( 'message terminate request', 'enter senddate request termination' ), +( 'register deadline', 'phase procedure aborted' ) ), +( 'forward to the competent authority', 'enter senddate acknowledgement', ->( X( tau, ->( 'enter senddate letter to competent authority', 'enter senddate letter to stakeholders' ) ), X( tau, ->( 'reception through OLO', +( *( 'send confirmation receipt', tau ), ->( X( tau, ->( 'no permit needed or only notification needed', 'applicant is stakeholder' ) ), 'terminate on request', 'regular procedure without MER', X( ->( 'create procedure confirmation', X( 'create publication document', 'publish', 'create subcases completeness' ) ), ->( 'no permit required for application', 'MER present', 'activities regular procedure', 'read field phased application' ) ), 'start WABOprocedure' ) ), 'send procedure confirmation' ) ) ) ) ) ) ) ), X( 'phased application', *( 'registrer date of publishing received request', tau ), 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_8_and_11_noise_90.svg', "->( X( tau, +( 'phase application received', 'register submission date request', ->( 'OLO messaging active', X( ->( +( 'message terminate request', 'enter senddate request termination' ), +( 'register deadline', 'phase procedure aborted' ) ), +( 'forward to the competent authority', 'enter senddate acknowledgement', ->( X( tau, ->( 'enter senddate letter to competent authority', 'enter senddate letter to stakeholders' ) ), X( tau, ->( 'reception through OLO', +( *( 'send confirmation receipt', tau ), ->( 'no permit needed or only notification needed', 'applicant is stakeholder', 'terminate on request', 'regular procedure without MER', X( ->( 'create procedure confirmation', X( 'create publication document', 'publish', 'create subcases completeness' ) ), ->( 'no permit required for application', 'MER present', 'activities regular procedure', 'read field phased application' ) ), 'start WABOprocedure' ) ), 'send procedure confirmation' ) ) ) ) ) ) ) ), X( 'phased application', *( 'registrer date of publishing received request', tau ), 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_10_and_12_noise_10.svg', "->( +( 'phase application received', 'register submission date request', ->( X( tau, 'OLO messaging active' ), +( X( tau, 'phase procedure aborted' ), ->( +( X( tau, *( 'registrer date of publishing received request', tau ) ), ->( +( X( tau, 'terminate on request' ), ->( *( ->( X( tau, ->( 'enter senddate letter to competent authority', X( tau, 'enter senddate letter to stakeholders' ) ) ), +( X( tau, 'enter senddate acknowledgement' ), X( tau, ->( X( tau, 'reception through OLO' ), X( tau, +( *( 'send confirmation receipt', tau ), X( tau, ->( 'forward to the competent authority', X( tau, ->( 'regular procedure without MER', X( tau, ->( 'create procedure confirmation', X( tau, 'create publication document', 'publish' ) ) ) ) ) ) ) ) ), X( tau, 'enter senddate procedure confirmation' ) ) ) ), X( tau, ->( X( tau, ->( 'send procedure confirmation', X( tau, 'inform BAG administrator' ) ) ), X( tau, 'registration date publication' ), X( tau, 'start WABOprocedure' ) ), ->( X( tau, 'no permit needed or only notification needed' ), 'applicant is stakeholder' ), ->( X( tau, 'no permit required for application' ), 'MER present', 'activities regular procedure' ) ) ), tau ), X( tau, 'enter date termination request received' ) ) ), X( tau, 'suspend term' ) ) ), X( tau, ->( +( 'message terminate request', 'enter senddate request termination' ), 'register deadline' ) ) ) ) ) ), X( tau, 'phased application', 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_10_and_12_noise_20.svg', "->( +( 'phase application received', 'register submission date request', ->( X( tau, 'OLO messaging active' ), X( tau, ->( +( X( tau, 'enter date termination request received' ), 'terminate on request' ), X( tau, ->( +( 'message terminate request', 'enter senddate request termination' ), +( 'register deadline', 'phase procedure aborted' ) ) ) ) ), X( tau, ->( 'enter senddate letter to competent authority', X( tau, 'enter senddate letter to stakeholders' ) ) ), +( 'forward to the competent authority', X( tau, 'enter senddate acknowledgement' ), ->( X( tau, 'reception through OLO' ), *( ->( X( 'enter senddate procedure confirmation', +( *( 'send confirmation receipt', tau ), X( tau, ->( 'regular procedure without MER', X( tau, ->( 'create procedure confirmation', X( 'create publication document', 'publish' ) ) ) ) ) ) ), X( tau, 'send procedure confirmation' ), X( tau, 'registration date publication' ), X( tau, 'start WABOprocedure' ) ), tau ) ) ) ) ), X( tau, 'phased application', 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_10_and_12_noise_30.svg', "->( 'register submission date request', 'OLO messaging active', X( tau, ->( +( X( tau, 'enter date termination request received' ), 'terminate on request' ), X( tau, ->( +( 'message terminate request', 'enter senddate request termination' ), +( X( tau, 'register deadline' ), 'phase procedure aborted' ), X( tau, 'phase forwarded to competent authority' ) ) ) ) ), X( tau, +( X( tau, 'enter senddate letter to stakeholders' ), 'enter senddate letter to competent authority' ) ), +( 'forward to the competent authority', 'phase application received', *( 'send confirmation receipt', tau ), ->( +( 'enter senddate acknowledgement', ->( +( X( tau, 'enter senddate procedure confirmation' ), ->( 'regular procedure without MER', X( tau, 'send procedure confirmation' ) ) ), X( tau, ->( 'create procedure confirmation', X( tau, 'publish' ) ) ) ) ), X( tau, 'create publication document' ) ) ), X( tau, 'registration date publication' ), X( tau, 'phased application', 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_10_and_12_noise_40.svg', "->( +( 'phase application received', 'register submission date request', ->( X( tau, 'OLO messaging active' ), +( X( tau, 'phase procedure aborted' ), ->( +( X( tau, *( 'registrer date of publishing received request', tau ) ), ->( +( X( tau, 'start WABOprocedure' ), ->( +( *( 'send confirmation receipt', tau ), ->( +( 'enter senddate acknowledgement', ->( +( X( tau, 'enter senddate procedure confirmation' ), ->( X( tau, 'treat subcases completeness' ), +( X( tau, 'enter senddate letter to competent authority' ), ->( X( tau, ->( X( tau, 'enter date termination request received', ->( 'no permit needed or only notification needed', 'applicant is stakeholder' ) ), 'terminate on request' ) ), X( tau, ->( X( tau, ->( X( tau, 'phase forwarded to competent authority' ), 'enter senddate letter to stakeholders' ) ), X( tau, 'reception through OLO' ), 'forward to the competent authority' ) ) ) ), 'regular procedure without MER', X( ->( 'send procedure confirmation', X( tau, 'inform BAG administrator' ) ), ->( 'create procedure confirmation', X( tau, 'create publication document' ) ) ), 'registration date publication' ) ), X( tau, 'publish' ) ) ), X( tau, ->( X( tau, 'no permit required for application' ), 'MER present', 'activities regular procedure' ) ) ) ), X( tau, 'read field phased application' ) ) ), X( tau, 'suspend term' ) ) ), X( tau, ->( +( 'message terminate request', 'enter senddate request termination' ), 'register deadline' ) ) ) ) ) ), X( tau, 'phased application', 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_10_and_12_noise_50.svg', "->( X( ->( 'enter date termination request received', +( 'message terminate request', 'enter senddate request termination' ), 'phase procedure aborted', 'register deadline' ), ->( X( tau, ->( X( tau, ->( X( tau, 'publish' ), 'register submission date request', 'OLO messaging active' ) ), X( 'create publication document', ->( 'MER present', 'activities regular procedure', 'read field phased application' ), +( 'terminate on request', ->( X( tau, 'phase forwarded to competent authority' ), +( 'enter senddate letter to stakeholders', 'enter senddate letter to competent authority' ), 'no permit needed or only notification needed', 'applicant is stakeholder', 'enter senddate acknowledgement' ) ) ), 'phase application received' ) ), X( tau, 'reception through OLO', 'treat subcases completeness' ), *( 'send confirmation receipt', tau ), 'forward to the competent authority', 'regular procedure without MER', X( tau, 'inform BAG administrator' ), X( tau, 'enter senddate procedure confirmation' ), X( tau, *( 'registrer date of publishing received request', 'suspend term' ) ), X( tau, 'send procedure confirmation' ), X( tau, 'registration date publication' ) ) ), X( tau, 'phased application', 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_10_and_12_noise_60.svg', "->( X( ->( 'enter date termination request received', +( 'message terminate request', 'enter senddate request termination' ), 'phase procedure aborted', 'register deadline' ), ->( X( tau, ->( X( tau, ->( X( tau, 'publish' ), 'register submission date request', 'OLO messaging active' ) ), X( 'create publication document', ->( 'MER present', 'activities regular procedure', 'read field phased application' ), +( 'terminate on request', ->( X( tau, 'phase forwarded to competent authority' ), +( 'enter senddate letter to stakeholders', 'enter senddate letter to competent authority' ), 'no permit needed or only notification needed', 'applicant is stakeholder', 'enter senddate acknowledgement' ) ) ), 'phase application received' ) ), X( tau, 'reception through OLO', 'treat subcases completeness' ), *( 'send confirmation receipt', tau ), 'forward to the competent authority', 'regular procedure without MER', X( tau, 'inform BAG administrator' ), 'enter senddate procedure confirmation', X( tau, *( 'registrer date of publishing received request', 'suspend term' ) ), X( tau, 'send procedure confirmation' ), 'registration date publication' ) ), X( tau, 'phased application', 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_10_and_12_noise_70.svg', "->( X( ->( 'enter date termination request received', +( 'message terminate request', 'enter senddate request termination' ), 'phase procedure aborted', 'register deadline' ), ->( X( tau, ->( X( tau, ->( X( tau, 'publish' ), 'register submission date request', 'OLO messaging active' ) ), X( 'create publication document', ->( 'MER present', 'activities regular procedure', 'read field phased application' ), +( 'terminate on request', ->( X( tau, 'phase forwarded to competent authority' ), +( 'enter senddate letter to stakeholders', 'enter senddate letter to competent authority' ), 'no permit needed or only notification needed', 'applicant is stakeholder', 'enter senddate acknowledgement' ) ) ), 'phase application received' ) ), X( tau, 'reception through OLO', 'treat subcases completeness' ), *( 'send confirmation receipt', tau ), 'forward to the competent authority', 'regular procedure without MER', X( tau, 'inform BAG administrator' ), 'enter senddate procedure confirmation', X( tau, *( 'registrer date of publishing received request', 'suspend term' ) ), 'send procedure confirmation', 'registration date publication' ) ), X( tau, 'phased application', 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_10_and_12_noise_80.svg', "->( X( ->( 'enter date termination request received', +( 'message terminate request', 'enter senddate request termination' ), 'phase procedure aborted', 'register deadline' ), ->( X( tau, +( 'register submission date request', ->( 'OLO messaging active', X( ->( 'create procedure confirmation', X( 'create publication document', 'publish' ) ), ->( 'MER present', 'activities regular procedure', 'read field phased application' ) ), *( ->( X( 'terminate on request', ->( X( tau, ->( 'phase forwarded to competent authority', +( 'enter senddate letter to stakeholders', 'enter senddate letter to competent authority' ) ) ), 'phase application received', 'enter senddate acknowledgement' ) ), X( tau, ->( 'no permit needed or only notification needed', 'applicant is stakeholder' ) ) ), tau ) ) ) ), X( tau, 'reception through OLO', 'treat subcases completeness' ), *( 'send confirmation receipt', tau ), 'forward to the competent authority', 'regular procedure without MER', X( tau, 'inform BAG administrator' ), 'enter senddate procedure confirmation', X( tau, *( 'registrer date of publishing received request', 'suspend term' ) ), 'send procedure confirmation', 'registration date publication' ) ), X( tau, 'phased application', 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_10_and_12_noise_90.svg', "->( X( ->( 'enter date termination request received', +( 'message terminate request', 'enter senddate request termination' ), 'phase procedure aborted', 'register deadline' ), ->( X( tau, +( 'register submission date request', ->( 'OLO messaging active', X( ->( 'create procedure confirmation', X( 'create publication document', 'publish' ) ), ->( 'MER present', 'activities regular procedure', 'read field phased application' ) ), *( ->( X( 'terminate on request', ->( 'phase forwarded to competent authority', +( 'enter senddate letter to stakeholders', 'enter senddate letter to competent authority' ), 'phase application received', 'enter senddate acknowledgement' ) ), 'no permit needed or only notification needed', 'applicant is stakeholder' ), tau ) ) ) ), X( 'reception through OLO', 'treat subcases completeness' ), *( 'send confirmation receipt', tau ), 'forward to the competent authority', 'regular procedure without MER', X( tau, 'inform BAG administrator' ), 'enter senddate procedure confirmation', X( tau, *( 'registrer date of publishing received request', 'suspend term' ) ), 'send procedure confirmation', 'registration date publication' ) ), X( 'phased application', 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_11_and_12_noise_10.svg', "->( +( 'phase application received', 'register submission date request', ->( X( tau, 'OLO messaging active' ), +( X( tau, 'phase procedure aborted' ), ->( +( X( tau, *( 'registrer date of publishing received request', tau ) ), ->( *( ->( X( tau, ->( 'enter senddate letter to competent authority', X( tau, 'enter senddate letter to stakeholders' ) ) ), X( tau, +( X( tau, 'enter senddate acknowledgement' ), X( tau, ->( X( tau, 'reception through OLO' ), X( tau, +( X( tau, 'applicant is stakeholder' ), ->( +( *( 'send confirmation receipt', tau ), X( tau, ->( 'forward to the competent authority', X( tau, ->( 'regular procedure without MER', X( tau, ->( 'create procedure confirmation', X( 'create publication document', 'publish' ) ) ) ) ) ) ) ), X( tau, 'no permit needed or only notification needed' ) ) ) ), X( tau, 'enter senddate procedure confirmation' ) ) ) ) ), X( tau, 'terminate on request' ), X( tau, ->( X( tau, ->( 'send procedure confirmation', X( tau, 'inform BAG administrator' ) ) ), X( tau, 'registration date publication' ), X( tau, 'start WABOprocedure' ) ), ->( X( tau, 'no permit required for application' ), 'MER present', 'activities regular procedure' ) ) ), tau ), X( tau, 'suspend term' ) ) ), X( tau, ->( 'enter date termination request received', 'message terminate request', 'enter senddate request termination', 'register deadline' ) ) ) ) ) ), X( tau, 'phased application', 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_11_and_12_noise_20.svg', "->( +( 'phase application received', 'register submission date request', ->( X( tau, 'OLO messaging active' ), X( tau, ->( 'terminate on request', X( tau, ->( 'enter date termination request received', 'message terminate request', 'enter senddate request termination', +( 'register deadline', 'phase procedure aborted' ) ) ) ) ), X( tau, ->( 'enter senddate letter to competent authority', X( tau, 'enter senddate letter to stakeholders' ) ) ), +( 'forward to the competent authority', X( tau, 'enter senddate acknowledgement' ), ->( X( tau, 'reception through OLO' ), +( X( tau, 'enter senddate procedure confirmation' ), ->( +( *( 'send confirmation receipt', tau ), ->( 'regular procedure without MER', X( tau, ->( 'create procedure confirmation', X( 'create publication document', 'publish' ) ) ), X( tau, 'start WABOprocedure' ) ) ), X( tau, 'send procedure confirmation' ) ) ) ) ) ) ), X( tau, 'registration date publication' ), X( tau, 'phased application', 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_11_and_12_noise_30.svg', "->( 'register submission date request', X( tau, 'OLO messaging active' ), X( tau, +( X( tau, 'enter senddate letter to competent authority' ), ->( X( tau, ->( 'no permit needed or only notification needed', 'applicant is stakeholder' ) ), 'terminate on request', X( tau, ->( 'enter date termination request received', 'message terminate request', 'enter senddate request termination' ) ), X( tau, +( X( tau, 'enter senddate letter to stakeholders' ), ->( X( tau, ->( X( tau, 'reception through OLO' ), +( 'request to competent authority', 'forward transcript to stakeholders' ) ) ), +( X( tau, 'register deadline' ), 'phase procedure aborted' ), X( tau, 'phase forwarded to competent authority' ) ) ) ) ) ) ), +( X( tau, 'enter senddate acknowledgement' ), X( tau, 'phase application received' ), *( 'send confirmation receipt', tau ) ), 'forward to the competent authority', 'regular procedure without MER', X( tau, 'inform BAG administrator' ), X( tau, 'enter senddate procedure confirmation' ), X( tau, *( 'registrer date of publishing received request', 'suspend term' ) ), X( tau, 'send procedure confirmation' ), X( tau, 'registration date publication' ), X( tau, 'phased application', 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_11_and_12_noise_40.svg', "->( X( ->( 'enter date termination request received', 'message terminate request', 'enter senddate request termination', 'phase procedure aborted', 'register deadline' ), ->( X( tau, ->( 'create procedure confirmation', 'publish' ), ->( 'MER present', 'activities regular procedure', 'read field phased application', 'start WABOprocedure' ) ), 'register submission date request', X( tau, 'OLO messaging active' ), X( 'create publication document', +( X( tau, 'terminate on request' ), ->( X( tau, 'phase forwarded to competent authority' ), X( tau, +( X( tau, 'enter senddate letter to stakeholders' ), 'enter senddate letter to competent authority' ) ), X( tau, ->( 'no permit needed or only notification needed', 'applicant is stakeholder' ) ), 'enter senddate acknowledgement' ) ) ), 'phase application received', X( tau, 'reception through OLO', 'treat subcases completeness' ), *( 'send confirmation receipt', tau ), 'forward to the competent authority', 'regular procedure without MER', X( tau, 'inform BAG administrator' ), X( tau, 'enter senddate procedure confirmation' ), X( tau, *( 'registrer date of publishing received request', 'suspend term' ) ), X( tau, 'send procedure confirmation' ), X( tau, 'registration date publication' ) ) ), X( tau, 'phased application', 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_11_and_12_noise_50.svg', "->( X( ->( 'enter date termination request received', 'message terminate request', 'enter senddate request termination', 'phase procedure aborted', 'register deadline' ), ->( X( tau, ->( X( tau, ->( X( tau, 'publish' ), 'register submission date request', 'OLO messaging active' ) ), X( 'create publication document', ->( 'MER present', 'activities regular procedure', 'read field phased application' ), +( 'terminate on request', ->( X( tau, 'phase forwarded to competent authority' ), +( 'enter senddate letter to stakeholders', 'enter senddate letter to competent authority' ), 'no permit needed or only notification needed', 'applicant is stakeholder', 'enter senddate acknowledgement' ) ) ), 'phase application received' ) ), X( tau, 'reception through OLO', 'treat subcases completeness' ), *( 'send confirmation receipt', tau ), 'forward to the competent authority', 'regular procedure without MER', X( tau, 'inform BAG administrator' ), X( tau, 'enter senddate procedure confirmation' ), X( tau, *( 'registrer date of publishing received request', 'suspend term' ) ), X( tau, 'send procedure confirmation' ), X( tau, 'registration date publication' ) ) ), X( tau, 'phased application', 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_11_and_12_noise_60.svg', "->( X( ->( 'enter date termination request received', 'message terminate request', 'enter senddate request termination', 'phase procedure aborted', 'register deadline' ), ->( X( tau, ->( X( tau, ->( X( tau, 'publish' ), 'register submission date request', 'OLO messaging active' ) ), X( 'create publication document', ->( 'MER present', 'activities regular procedure', 'read field phased application' ), +( 'terminate on request', ->( X( tau, 'phase forwarded to competent authority' ), +( 'enter senddate letter to stakeholders', 'enter senddate letter to competent authority' ), 'no permit needed or only notification needed', 'applicant is stakeholder', 'enter senddate acknowledgement' ) ) ), 'phase application received' ) ), X( tau, 'reception through OLO', 'treat subcases completeness' ), *( 'send confirmation receipt', tau ), 'forward to the competent authority', 'regular procedure without MER', X( tau, 'inform BAG administrator' ), 'enter senddate procedure confirmation', X( tau, *( 'registrer date of publishing received request', 'suspend term' ) ), 'send procedure confirmation', 'registration date publication' ) ), X( tau, 'phased application', 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_11_and_12_noise_80.svg', "->( X( ->( 'enter date termination request received', 'message terminate request', 'enter senddate request termination', 'phase procedure aborted', 'register deadline' ), ->( X( tau, +( 'register submission date request', ->( 'OLO messaging active', X( ->( 'create procedure confirmation', X( 'create publication document', 'publish' ) ), ->( 'MER present', 'activities regular procedure', 'read field phased application' ) ), *( ->( X( 'terminate on request', ->( X( tau, ->( 'phase forwarded to competent authority', +( 'enter senddate letter to stakeholders', 'enter senddate letter to competent authority' ) ) ), 'phase application received', 'enter senddate acknowledgement' ) ), X( tau, ->( 'no permit needed or only notification needed', 'applicant is stakeholder' ) ) ), tau ) ) ) ), X( tau, 'reception through OLO', 'treat subcases completeness' ), *( 'send confirmation receipt', tau ), 'forward to the competent authority', 'regular procedure without MER', X( tau, 'inform BAG administrator' ), 'enter senddate procedure confirmation', X( tau, *( 'registrer date of publishing received request', 'suspend term' ) ), 'send procedure confirmation', 'registration date publication' ) ), X( tau, 'phased application', 'close case' ) )")
('BPIC15_1/process_tree_case_size_betwee_11_and_12_noise_90.svg', "->( X( ->( 'enter date termination request received', 'message terminate request', 'enter senddate request termination', 'phase procedure aborted', 'register deadline' ), ->( X( tau, +( 'register submission date request', ->( 'OLO messaging active', X( ->( 'create procedure confirmation', X( 'create publication document', 'publish' ) ), ->( 'MER present', 'activities regular procedure', 'read field phased application' ) ), *( ->( X( 'terminate on request', ->( 'phase forwarded to competent authority', +( 'enter senddate letter to stakeholders', 'enter senddate letter to competent authority' ), 'phase application received', 'enter senddate acknowledgement' ) ), 'no permit needed or only notification needed', 'applicant is stakeholder' ), tau ) ) ) ), X( 'reception through OLO', 'treat subcases completeness' ), *( 'send confirmation receipt', tau ), 'forward to the competent authority', 'regular procedure without MER', X( tau, 'inform BAG administrator' ), 'enter senddate procedure confirmation', X( tau, *( 'registrer date of publishing received request', 'suspend term' ) ), 'send procedure confirmation', 'registration date publication' ) ), X( 'phased application', 'close case' ) )")
