visualization_filename, serialization
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_19.svg', "->( +( 'Input submission date request', ->( 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ) ), +( 'Transfer to the competent authority', ->( 'Routine procedure without MER', 'Draft procedure confirmation', 'Distribute', 'Form subcases completeness', 'Amend procedure', +( X( tau, 'Phase of application received' ), X( tau, 'Initiate WABOprocedure' ), X( tau, 'Transmit procedure confirmation' ) ) ) ) ) ), X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', X( tau, 'Conclude case' ) ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_20.svg', "->( X( tau, 'Input submission date request' ), 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ) ), 'Transfer to the competent authority', X( tau, ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), +( 'Draft procedure confirmation', 'Routine procedure without MER' ), X( tau, ->( 'Distribute', 'Form subcases completeness', 'Amend procedure' ) ), X( tau, 'Inspect field phased application', 'Alert BAG administrator' ), +( X( tau, 'Phase of application received' ), X( tau, 'Initiate WABOprocedure' ), X( tau, 'Transmit procedure confirmation' ) ), X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', X( tau, 'Conclude case' ) ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_23.svg', "->( 'Input submission date request', 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ) ), 'Transfer to the competent authority', X( tau, ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), +( 'Draft procedure confirmation', 'Routine procedure without MER' ), X( tau, ->( 'Distribute', 'Form subcases completeness', 'Amend procedure' ) ), X( tau, 'Inspect field phased application', 'Alert BAG administrator' ), +( X( tau, 'Phase of application received' ), X( tau, 'Initiate WABOprocedure' ), X( tau, 'Transmit procedure confirmation' ) ), X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', X( tau, 'Conclude case' ) ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_28.svg', "->( 'Input submission date request', 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ) ), 'Transfer to the competent authority', X( tau, ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), +( 'Draft procedure confirmation', 'Routine procedure without MER' ), 'Distribute', 'Form subcases completeness', 'Amend procedure', X( tau, 'Inspect field phased application', 'Alert BAG administrator' ), +( X( tau, 'Phase of application received' ), X( tau, 'Initiate WABOprocedure' ), X( tau, 'Transmit procedure confirmation' ) ), X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', X( tau, 'Conclude case' ) ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_34.svg', "->( 'Input submission date request', 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ) ), 'Transfer to the competent authority', X( tau, ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), +( 'Draft procedure confirmation', 'Routine procedure without MER' ), 'Distribute', 'Form subcases completeness', 'Amend procedure', X( tau, 'Inspect field phased application', 'Alert BAG administrator' ), +( X( tau, 'Phase of application received' ), X( tau, 'Initiate WABOprocedure' ), X( tau, 'Transmit procedure confirmation' ) ), X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_50.svg', "->( 'Input submission date request', 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ) ), 'Transfer to the competent authority', X( tau, ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), +( 'Draft procedure confirmation', 'Routine procedure without MER' ), 'Distribute', 'Form subcases completeness', 'Amend procedure', X( tau, 'Inspect field phased application', 'Alert BAG administrator' ), +( 'Phase of application received', 'Initiate WABOprocedure', 'Transmit procedure confirmation' ), X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_72.svg', "->( X( tau, ->( 'Input submission date request', 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', X( tau, 'Assess provisional charges' ) ) ), 'Transfer to the competent authority', X( tau, ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), +( 'Draft procedure confirmation', 'Routine procedure without MER' ), 'Distribute', 'Form subcases completeness', 'Amend procedure' ) ), 'Transmit procedure confirmation', X( tau, 'Inspect field phased application' ), 'Initiate WABOprocedure', X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_75.svg', "->( X( tau, ->( 'Input submission date request', 'OLO messaging live', 'Provide confirmation receipt', X( tau, ->( 'Applicant considered stakeholder', 'Assess provisional charges' ) ), 'Transfer to the competent authority', X( tau, ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), +( 'Draft procedure confirmation', 'Routine procedure without MER' ), 'Distribute', 'Form subcases completeness', 'Amend procedure' ) ), 'Transmit procedure confirmation', X( tau, 'Inspect field phased application' ), 'Initiate WABOprocedure', X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_78.svg', "->( X( tau, ->( 'Input submission date request', 'OLO messaging live', 'Provide confirmation receipt', 'Applicant considered stakeholder', 'Assess provisional charges', 'Transfer to the competent authority', X( tau, ->( 'Environmental Report required', 'Routine procedure activities', 'Phased application' ) ), +( 'Draft procedure confirmation', 'Routine procedure without MER' ), 'Distribute', 'Form subcases completeness', 'Amend procedure' ) ), 'Transmit procedure confirmation', X( tau, 'Inspect field phased application' ), 'Initiate WABOprocedure', X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_94.svg', "->( X( tau, ->( 'Input submission date request', 'OLO messaging live', 'Provide confirmation receipt', 'Applicant considered stakeholder', 'Assess provisional charges', 'Transfer to the competent authority', 'Environmental Report required', 'Routine procedure activities', 'Phased application', +( 'Draft procedure confirmation', 'Routine procedure without MER' ), 'Distribute', 'Form subcases completeness', 'Amend procedure' ) ), 'Transmit procedure confirmation', X( tau, 'Inspect field phased application' ), 'Initiate WABOprocedure', X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_12_and_13_noise_95.svg', "->( X( tau, ->( 'Input submission date request', 'OLO messaging live', 'Provide confirmation receipt', 'Applicant considered stakeholder', 'Assess provisional charges', 'Transfer to the competent authority', 'Environmental Report required', 'Routine procedure activities', 'Phased application', +( 'Draft procedure confirmation', 'Routine procedure without MER' ), 'Distribute', 'Form subcases completeness', 'Amend procedure' ) ), 'Transmit procedure confirmation', 'Inspect field phased application', 'Initiate WABOprocedure', X( 'Cease on request', 'Input senddate procedure confirmation', 'case closure', ->( X( ->( 'No permit needed or just notification needed', 'draft letter indicating no permit required', 'log senddate letter no permit or notification needed', 'Register due date' ), ->( 'send request to competent authority', 'note the senddate for letter to the authority', 'send transcript to stakeholders', 'note senddate for letter to stakeholders', 'send phase to competent authority' ) ), 'Phase procedure aborted', 'Conclude case' ) ) )")
